age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43,Private,254256,Prof-school,15,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,30,United-States,<=50K
68,Private,162772,9th,5,Widowed,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
32,Federal-gov,135604,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,55,United-States,<=50K
45,Private,268222,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2303,38,United-States,<=50K
48,State-gov,87872,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
51,State-gov,132707,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
51,Private,385083,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,4795,0,44,United-States,<=50K
40,Self-emp-inc,597157,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States,<=50K
36,Local-gov,218511,Masters,14,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
20,Private,219179,9th,5,Divorced,Craft-repair,Not-in-family,White,Male,0,2219,45,United-States,>50K
38,Private,81172,Some-college,10,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,50,United-States,>50K
31,Private,118137,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,60,United-States,>50K
31,Federal-gov,151765,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,48,United-States,<=50K
34,Private,180199,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
65,Self-emp-not-inc,80241,Some-college,10,Divorced,Other-service,Unmarried,White,Male,0,0,25,United-States,<=50K
44,Private,183680,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States,<=50K
49,Federal-gov,145514,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,16,United-States,<=50K
24,Private,368620,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
22,Private,110939,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,0,0,39,United-States,<=50K
47,Private,184248,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,37,Jamaica,<=50K
45,Private,136660,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
47,Federal-gov,442022,10th,6,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
44,Private,136540,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,45,United-States,<=50K
32,Self-emp-not-inc,143185,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,0,0,60,United-States,<=50K
52,Private,263154,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
50,Private,209259,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,45,United-States,<=50K
45,Private,65129,5th-6th,3,Divorced,Other-service,Unmarried,White,Female,0,0,16,United-States,<=50K
38,State-gov,287117,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,48,United-States,<=50K
38,Private,160116,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
37,Private,213631,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,50,United-States,>50K
31,Self-emp-inc,274271,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,0,0,45,United-States,<=50K
43,Private,218431,9th,5,Widowed,Farming-fishing,Other-relative,White,Male,0,0,45,United-States,<=50K
35,Private,254963,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,35,United-States,<=50K
44,Private,215693,Bachelors,13,Divorced,Tech-support,Own-child,White,Female,8698,0,44,United-States,>50K
37,Private,164396,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,38,United-States,>50K
24,Private,245435,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
46,Local-gov,58313,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,361756,Masters,14,Divorced,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,>50K
26,Private,71832,Bachelors,13,Married-civ-spouse,Protective-serv,Wife,White,Female,0,0,40,United-States,>50K
37,Private,186403,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
31,Private,224152,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Male,0,0,41,England,<=50K
25,Private,348898,Bachelors,13,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,0,0,35,United-States,>50K
29,Federal-gov,159116,Assoc-acdm,12,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
69,Federal-gov,143825,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1949,40,United-States,<=50K
36,Private,337421,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,264214,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Female,0,0,43,United-States,<=50K
31,Private,186168,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,38,United-States,<=50K
22,Private,256787,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,35,United-States,<=50K
47,Federal-gov,280384,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,45,United-States,<=50K
38,Private,257875,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
49,Private,280698,11th,7,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K
40,Private,354339,Some-college,10,Divorced,Priv-house-serv,Not-in-family,White,Female,0,0,40,Honduras,<=50K
43,Private,128000,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,35,United-States,<=50K
34,Private,167473,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,35,United-States,<=50K
47,Private,149396,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,255676,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
34,Private,213946,9th,5,Widowed,Transport-moving,Unmarried,White,Male,0,0,20,Peru,<=50K
45,Private,203006,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,60,United-States,>50K
38,Private,152572,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,Mexico,<=50K
17,Private,273275,5th-6th,3,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
57,Private,371440,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
41,Private,139403,Some-college,10,Married-spouse-absent,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,Private,178501,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,279331,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
46,Private,607529,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,258396,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,<=50K
36,Private,284322,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
34,Private,95081,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,43,Puerto-Rico,>50K
72,Private,175761,7th-8th,4,Married-AF-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,296939,HS-grad,9,Widowed,Craft-repair,Unmarried,White,Male,0,0,30,United-States,>50K
51,Private,408796,Bachelors,13,Never-married,Armed-Forces,Own-child,White,Female,0,0,40,United-States,<=50K
47,Private,464204,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,70,United-States,>50K
45,Private,186519,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
23,Private,226812,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Male,0,0,35,Italy,<=50K
28,Private,481517,HS-grad,9,Separated,Exec-managerial,Own-child,White,Male,0,0,45,United-States,<=50K
22,Private,121260,Some-college,10,Never-married,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K
32,Federal-gov,124616,HS-grad,9,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,35,United-States,<=50K
26,Private,164816,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
35,Private,145893,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1613,45,United-States,>50K
38,State-gov,550145,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K
