age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
36,Private,306793,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,35,Philippines,<=50K
36,Private,281832,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,Ecuador,<=50K
38,Local-gov,168978,Some-college,10,Married-civ-spouse,Craft-repair,Wife,Black,Female,0,0,40,United-States,<=50K
40,Private,259146,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,113075,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,>50K
25,Private,170166,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,55,United-States,<=50K
33,Private,226237,Masters,14,Never-married,Prof-specialty,Unmarried,White,Male,0,0,40,China,<=50K
40,Local-gov,311362,Doctorate,16,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,<=50K
46,Private,220529,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,35,United-States,<=50K
34,Private,237877,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,132686,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,Canada,<=50K
33,Self-emp-not-inc,135954,10th,6,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,60,El-Salvador,<=50K
31,Private,162728,Some-college,10,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,39,Ireland,<=50K
27,Self-emp-not-inc,156509,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,44,United-States,<=50K
55,Private,215406,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Honduras,<=50K
50,Private,163687,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
