age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
41,Private,159212,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,45,United-States,>50K
35,Local-gov,157085,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
37,Self-emp-not-inc,202362,Assoc-acdm,12,Divorced,Craft-repair,Unmarried,White,Female,0,0,50,United-States,<=50K
51,Private,287329,9th,5,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,25,United-States,<=50K
39,Private,202716,Assoc-voc,11,Divorced,Handlers-cleaners,Other-relative,White,Female,0,0,48,United-States,>50K
55,Private,48498,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
64,Private,418295,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,35,Mexico,<=50K
62,Self-emp-inc,104230,Bachelors,13,Married-AF-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,<=50K
32,Private,144330,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K
54,State-gov,119395,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,6893,0,55,Japan,>50K
51,Self-emp-not-inc,129489,Assoc-acdm,12,Divorced,Other-service,Other-relative,White,Male,0,0,38,Mexico,<=50K
57,Private,227631,Bachelors,13,Never-married,Exec-managerial,Unmarried,White,Female,0,0,46,United-States,<=50K
53,Private,123328,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,30,United-States,<=50K
50,Private,176240,Doctorate,16,Divorced,Sales,Other-relative,White,Male,0,0,45,United-States,>50K
27,Private,245646,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K
37,Private,116428,HS-grad,9,Married-civ-spouse,Protective-serv,Wife,White,Female,0,0,35,United-States,<=50K
45,Self-emp-not-inc,354442,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
31,Private,149717,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,55,United-States,>50K
64,Private,267631,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K
42,Private,235062,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2292,40,United-States,>50K
58,Private,299654,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
47,Federal-gov,135114,Doctorate,16,Divorced,Transport-moving,Unmarried,White,Male,0,0,40,United-States,<=50K
35,Private,273272,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Male,0,0,80,United-States,>50K
43,Private,156552,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,80,United-States,<=50K
50,Self-emp-not-inc,178421,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,55,United-States,>50K
27,Private,219386,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
33,Private,89507,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,55,United-States,<=50K
30,Private,109941,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Male,0,0,38,United-States,<=50K
46,Private,107330,Bachelors,13,Divorced,Craft-repair,Unmarried,White,Male,0,0,38,United-States,<=50K
57,Private,161620,7th-8th,4,Married-civ-spouse,Transport-moving,Wife,Black,Female,0,2407,48,United-States,<=50K
45,Private,179400,11th,7,Married-civ-spouse,Farming-fishing,Wife,White,Female,14203,0,40,United-States,>50K
31,Private,228183,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Vietnam,<=50K
18,Private,119011,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,48,Mexico,<=50K
74,Private,247413,HS-grad,9,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
51,State-gov,109910,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,35,United-States,<=50K
34,Private,124839,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,50,Cuba,>50K
45,Private,185207,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,41,United-States,<=50K
36,Private,195636,Assoc-acdm,12,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,40,United-States,<=50K
62,Private,204759,Masters,14,Married-spouse-absent,Exec-managerial,Other-relative,White,Male,0,0,40,United-States,<=50K
25,Private,171443,HS-grad,9,Separated,Prof-specialty,Unmarried,White,Male,0,0,45,United-States,<=50K
54,Self-emp-inc,114626,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
28,Private,454892,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
49,Federal-gov,75550,11th,7,Married-AF-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
70,Self-emp-not-inc,214549,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
23,Self-emp-not-inc,91324,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
54,Private,183971,Preschool,1,Divorced,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
38,Private,155740,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,7658,0,76,United-States,>50K
74,Private,147548,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K
28,Private,303680,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States,<=50K
54,Private,248162,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Jamaica,<=50K
36,Federal-gov,310711,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,48,United-States,<=50K
38,Private,243555,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,>50K
39,Local-gov,169126,HS-grad,9,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,45,Philippines,<=50K
