LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
50000,2,2,1,26,-1,-1,-1,-1,-1,0,6799,7263,6857,7647,7026,6395,6799,7263,6857,7647,7026,1780,0
50000,2,3,1,47,6,1,0,1,-1,0,0,0,36920,33263,30299,30170,0,0,6410,1468,30299,3391,0
170000,2,3,1,38,3,3,2,1,0,0,169680,163718,163771,160964,145591,135014,11873,6445,18454,7036,18818,36841,0
80000,1,2,2,38,-1,0,0,0,1,-1,34824,32481,31641,32728,36118,35403,34824,8519,6612,2775,725,35403,0
160000,2,2,2,25,2,2,0,-1,1,0,0,0,0,0,111616,98560,0,0,504,1010,0,16675,0
230000,2,2,2,37,0,-2,-1,-1,0,0,149432,0,138568,132211,151840,136480,42192,0,138568,132211,45294,19492,0
100000,2,1,1,28,0,0,-1,0,-2,-2,37036,34660,32182,35188,0,0,1460,2793,32182,3277,0,0,0
200000,1,3,2,33,0,0,-1,1,0,-1,60373,59537,53066,48441,48243,50868,12995,9415,53066,0,8989,50868,0
100000,1,1,1,41,-1,-1,0,0,2,2,0,0,0,94543,85281,86760,1623,2162,1221,18881,8717,0,1
140000,2,1,2,21,-1,-1,0,-1,0,0,0,0,38910,35746,33910,29832,455,1213,8712,35746,10089,2179,0
340000,1,4,2,49,-1,-1,-1,0,0,0,0,0,0,119874,116394,116064,1411,1976,2123,31448,23787,3756,0
220000,1,2,2,29,0,0,0,0,0,0,0,87255,84679,78309,72977,81799,807,9814,15383,15085,9931,3349,0
90000,2,2,1,21,1,0,0,0,0,0,30481,29077,26977,25756,23487,25831,548,2111,4233,6420,6922,6396,0
30000,1,1,1,26,0,0,0,0,-2,-2,-1983,-2236,-2354,-2538,0,0,1541,24,1487,1154,0,0,0
100000,1,2,2,21,4,1,2,0,1,-1,0,0,0,0,61112,59417,0,0,0,1856,0,59417,0
100000,2,2,1,25,0,0,-2,-2,-2,0,79777,85115,0,0,0,58342,3500,3164,0,0,0,2672,0
100000,2,1,2,21,1,1,1,1,1,2,55739,57832,54695,56140,57175,50418,0,3023,0,5012,3850,2049,0
170000,1,1,2,24,0,0,0,-1,0,0,22916,20022,22945,22485,22896,23568,1754,5726,3706,22485,6172,5243,0
130000,1,3,2,35,-1,-1,-2,0,-2,0,83592,81147,0,76003,0,82449,83592,81147,0,14412,0,10709,0
180000,2,2,2,57,0,2,-2,-2,-1,0,55966,59878,0,0,67403,76512,13497,6654,0,0,67403,10707,0
80000,1,4,1,32,2,0,0,-1,0,0,24581,24099,22637,22158,24382,27222,2235,4106,5586,22158,1201,6229,0
90000,1,1,1,27,1,1,-2,1,0,0,0,0,271,53540,48368,42771,0,0,0,0,4786,7184,0
80000,2,2,2,23,2,0,-2,0,0,0,58071,54064,62,52304,45146,39590,2372,5500,0,12197,8238,11526,1
100000,1,2,2,37,0,-1,-1,1,2,-1,0,0,0,0,0,0,440,143,822,0,0,1196,0
50000,2,2,1,21,0,0,1,0,0,-1,19046,19739,18291,16631,16034,18260,2110,977,1752,2361,1596,18260,0
140000,2,1,1,31,-1,-1,0,0,-1,-1,0,32813,30729,34570,32032,30869,1255,32813,6028,1345,32032,30869,0
100000,2,1,2,26,0,-2,0,0,1,-2,0,0,0,0,0,0,1460,0,457,1790,0,0,0
190000,2,3,2,32,-1,-2,0,0,-1,0,0,291,49733,48018,42691,48822,1581,0,14232,2726,42691,3321,0
90000,1,2,1,31,0,1,1,-1,0,0,26873,27616,27211,24121,21528,22208,7441,1771,1403,24121,2035,5499,0
200000,2,3,2,36,0,0,0,1,1,2,106732,112802,119711,124423,129496,132809,9425,29205,23084,7547,3421,8664,0
70000,2,2,2,57,3,2,0,0,0,0,0,0,0,0,0,28144,0,0,1901,64,1703,3389,1
140000,1,3,2,26,0,0,3,2,2,1,121163,118912,121861,124190,119189,110840,16539,24014,5841,10921,1581,0,0
50000,1,2,2,42,0,1,1,1,0,0,13669,13391,13300,14000,15170,14574,438,175,598,694,2176,3650,1
330000,1,3,1,43,0,0,0,0,0,-2,150491,159678,152350,138669,156118,0,41598,25054,14242,34137,7733,0,0
90000,2,2,1,36,-1,-2,-2,0,0,0,58712,0,0,54373,56939,50767,58712,0,0,4581,8129,7126,0
310000,1,1,1,33,-1,-1,-1,-2,0,2,186235,207056,198158,0,174520,162068,186235,207056,198158,0,22433,0,0
160000,2,2,1,27,0,1,1,0,0,0,60343,67774,62047,63139,63981,65688,4976,0,0,2350,6910,19521,0
170000,2,2,1,37,0,-1,1,-1,-1,0,69875,74059,80664,70820,61263,56966,13705,74059,4856,70820,61263,14874,0
90000,2,1,2,36,0,-1,-1,0,0,0,53924,52242,47225,48942,45235,41195,5706,52242,47225,10135,8831,8971,0
250000,1,1,1,36,-1,-1,-1,1,0,-1,53511,48939,48321,51631,53157,59626,53511,48939,48321,0,11379,59626,0
170000,2,1,2,37,0,0,-2,1,0,2,129008,135748,0,122141,115264,119647,18080,14338,0,6872,19806,4047,0
60000,1,2,1,51,0,0,-1,-2,-2,2,0,0,29086,0,233,28997,745,1650,29086,0,0,3067,1
250000,1,1,1,32,0,0,0,0,0,0,129439,112061,121783,121406,108472,99796,17681,3451,35825,34203,4387,6967,0
130000,2,2,1,24,0,-1,-1,-1,-1,0,87170,82650,82990,80489,73375,66480,13580,82650,82990,80489,73375,14881,0
220000,1,3,1,24,-1,0,0,0,0,1,0,0,0,39653,45774,42640,1371,874,1796,1700,5064,0,0
170000,1,2,1,42,-2,-1,-1,-1,1,0,0,97143,100472,92030,97237,107558,0,97143,100472,92030,5364,18172,0
160000,1,2,1,44,-2,0,0,0,1,0,0,66707,73884,71623,64735,69096,0,19546,15704,6559,0,15824,1
230000,1,3,2,37,-1,0,-1,0,-1,-1,0,91935,100187,95294,88299,79324,1732,27352,100187,26274,88299,79324,0
150000,2,2,2,26,0,0,1,1,1,1,41227,37836,33039,33701,37438,33452,8549,5542,3587,698,4428,1432,0
500000,1,3,2,28,1,3,2,1,2,1,500000,500000,500000,500000,465702,472156,24464,62033,0,20538,50676,53220,1
210000,2,3,2,32,0,1,2,2,1,0,153581,132118,126298,136138,149313,151750,17633,12675,13101,7767,13300,21427,0
140000,1,1,2,25,-2,-1,-1,2,2,2,251,96487,86789,88518,78569,75362,0,96487,86789,1737,8179,4134,0
110000,1,3,2,32,0,1,0,-1,0,-1,26960,28794,27581,26828,29204,30568,5285,545,4057,26828,7042,30568,0
360000,2,1,2,50,-1,0,0,0,-1,0,156860,140492,133372,137772,125538,125380,156860,38118,36431,19050,125538,29623,0
110000,1,1,2,32,0,0,0,0,0,0,60087,65641,72186,64956,61562,55566,14923,13140,4311,16627,4379,9631,0
270000,2,2,1,25,1,-2,-2,0,0,1,0,88,0,0,64648,72695,0,0,0,454,17822,7531,0
140000,2,1,1,47,0,1,2,-1,2,2,83823,93995,90368,83787,74942,70141,24049,0,9661,83787,0,1479,0
100000,1,2,1,36,0,0,0,-1,-1,0,46705,40146,38081,42846,36786,40451,4297,2952,8321,42846,36786,10361,0
100000,2,2,1,39,-1,0,0,-2,-1,-1,0,0,0,132,16252,14700,701,1673,835,0,16252,14700,0
120000,2,2,1,31,3,2,0,-2,0,-1,96326,86590,76775,0,82534,73783,0,0,6744,0,3296,73783,1
160000,2,1,1,49,-1,-1,-1,-1,0,-2,20228,22381,22853,22043,23611,0,20228,22381,22853,22043,4855,0,0
300000,2,2,2,34,1,1,0,0,-1,-1,46677,51996,48951,53186,48918,44197,686,0,13037,2966,48918,44197,0
200000,2,1,2,39,2,2,1,-2,-1,2,0,0,0,0,0,61645,0,0,0,0,2860,1938,1
80000,2,2,2,34,-1,0,0,0,0,0,33270,32937,32770,34952,33383,32774,33270,4158,2224,9680,6949,6133,0
270000,2,2,2,37,0,0,-1,0,0,0,58314,65112,67772,62732,53773,61401,7566,10575,67772,10193,11206,5943,0
110000,2,2,1,38,0,0,-1,1,0,0,77782,77463,80550,71645,65644,60350,5631,10874,80550,0,13944,13867,0
130000,2,3,1,26,0,-1,0,0,0,-1,80535,78018,75962,80151,74577,82233,4368,78018,20183,5379,13014,82233,0
290000,2,1,1,47,-1,0,0,0,2,2,0,0,0,0,0,0,237,1519,594,1353,0,0,1
110000,2,2,1,31,0,0,1,-1,0,-2,0,0,0,0,59117,0,1996,1462,0,372,7623,0,0
140000,2,1,1,35,1,1,0,2,3,1,0,0,0,0,72714,69868,0,0,1819,0,7765,7234,1
30000,2,1,2,41,1,1,0,0,1,1,11356,11052,11050,11429,11684,12421,505,0,2039,3175,0,135,0
60000,2,3,1,26,0,-1,0,1,0,0,46140,44442,40028,35771,34825,37048,9233,44442,5270,1389,2048,1820,0
